CC1p1h,,CCDIS,,CC2p2h,,CC1pi,,CCother,,NC,,Total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.165432100777092,0.052259715783825156,,,15.313800088548733,0.007354723897821991,,,,,15.437119108728854,0.20768518338925857,2.612277790191822,1.0727159785932723
10.010805951924235,0.04790470579488093,,,16.726268809522214,0.006774055899296139,,,,,16.860962162506624,0.20662062539196113,2.8418020021888206,1.0509118952486247
10.934152880646495,0.044033585804708064,,,18.269016617083768,0.0064837219000331014,,,,,18.416133414733345,0.20536251139515493,3.1039156784861266,1.0331047432938303
11.94266473563695,0.04035602181404396,,,19.954059805930893,0.005709497901998484,,,,,20.11474592496434,0.204394731397612,3.390205416046382,1.0154911473385444
13.044196705926554,0.0369687918226429,,,21.794522993992697,0.005709497901998484,,,,,21.970030001095534,0.20323339540055985,3.702901094463992,0.9987485533810476
14.24732850409623,0.03377511783075038,,,23.804741348649916,0.004644939904701051,,,,,23.996436248791124,0.20255594940227994,4.0444382663316,0.9849092994161802
15.561431192723983,0.031162111837384154,,,26.000372241792817,0.004644939904701051,,,,,26.209748125677702,0.2014913914049823,4.417477127494047,0.9725217154476276
16.996740174571002,0.028549105844017486,,,27.723357116539933,0.0045,,,,,27.834758663653403,0.20052361140743913,4.824923237024162,0.9626503594726872
18.564434915019323,0.026129655850159583,,,,,,,,,,,5.269950148306025,0.9539403394947987
20.276726017710462,0.024097317855318767,,,,,,,,,,,5.756024127496727,0.9475529915110138
22.14695033160768,0.02206497986047795,,,,,,,,,,,6.28693115189607,0.9396171955311597
24.189674830260426,0.02012941986539185,,,,,,,,,,,6.866806398511525,0.9311975095525341
26.42081007237526,0.01867774986907711,,,,,,,,,,,7.500166452501707,0.9240359375707147
27.94660785874283,0.01741963587227091,,,,,,,,,,,8.191944486366406,0.9170679215884039
,,,,,,,,,,,,8.947528683890058,0.9107773516043731
,,,,,,,,,,,,9.772804208118572,0.9049706716191142
,,,,,,,,,,,,10.674199040253518,0.899454325633118
,,,,,,,,,,,,11.658734046497814,0.894228313646385
,,,,,,,,,,,,12.734077662818155,0.8894861916584234
,,,,,,,,,,,,13.9086056235578,0.8851311816694791
,,,,,,,,,,,,15.191466199119422,0.8809697276800434
,,,,,,,,,,,,16.592651450847203,0.8770018296901165
,,,,,,,,,,,,18.1230750581047,0.8733242656994524
,,,,,,,,,,,,19.794657323735116,0.8698402577082971
,,,,,,,,,,,,21.62041802000225,0.8664530277168959
,,,,,,,,,,,,23.614577798179077,0.8632593537250034
,,,,,,,,,,,,24.978316095065715,0.86161412772918
,,,,,,,,,,,,27.959479400271448,0.8577981651376146
