theta23,dm31,chi2
36.2712,0.00214444,499.305
36.8699,0.00214444,498.331
37.465,0.00214444,497.443
38.0567,0.00214444,496.637
38.6455,0.00214444,495.911
39.2315,0.00214444,495.259
39.8151,0.00214444,494.678
40.3966,0.00214444,494.165
40.9761,0.00214444,493.716
41.5539,0.00214444,493.328
42.1304,0.00214444,492.999
42.7057,0.00214444,492.725
43.2801,0.00214444,492.505
43.8538,0.00214444,492.337
44.427,0.00214444,492.22
45,0.00214444,492.153
45.573,0.00214444,492.136
46.1462,0.00214444,492.169
46.7199,0.00214444,492.252
47.2943,0.00214444,492.387
47.8696,0.00214444,492.576
48.4461,0.00214444,492.819
49.0239,0.00214444,493.119
49.6034,0.00214444,493.48
50.1849,0.00214444,493.904
50.7685,0.00214444,494.393
51.3545,0.00214444,494.953
51.9433,0.00214444,495.586
52.535,0.00214444,496.296
53.1301,0.00214444,497.087
53.7288,0.00214444,497.963
54.3315,0.00214444,498.927
54.9384,0.00214444,499.983
55.5501,0.00214444,501.135
56.1668,0.00214444,502.386
56.7891,0.00214444,503.739
33.2109,0.00216667,505.609
33.8332,0.00216667,504.148
34.4499,0.00216667,502.791
35.0616,0.00216667,501.534
35.6685,0.00216667,500.374
36.2712,0.00216667,499.308
36.8699,0.00216667,498.332
37.465,0.00216667,497.443
38.0567,0.00216667,496.635
38.6455,0.00216667,495.907
39.2315,0.00216667,495.253
39.8151,0.00216667,494.67
40.3966,0.00216667,494.155
40.9761,0.00216667,493.704
41.5539,0.00216667,493.314
42.1304,0.00216667,492.982
42.7057,0.00216667,492.707
43.2801,0.00216667,492.485
43.8538,0.00216667,492.315
44.427,0.00216667,492.197
45,0.00216667,492.128
45.573,0.00216667,492.11
46.1462,0.00216667,492.141
46.7199,0.00216667,492.223
47.2943,0.00216667,492.357
47.8696,0.00216667,492.543
48.4461,0.00216667,492.785
49.0239,0.00216667,493.085
49.6034,0.00216667,493.444
50.1849,0.00216667,493.866
50.7685,0.00216667,494.355
51.3545,0.00216667,494.913
51.9433,0.00216667,495.545
52.535,0.00216667,496.253
53.1301,0.00216667,497.042
53.7288,0.00216667,497.916
